Unnamed: 0_x,obsid,Heh,logg,teff,lamo,Ra,dec,snu
126,756315136,-2.835190773,5.45613718,31465.14063,LAMOST J225120.16+003417.1,342.83403,0.571429,6.94
127,756502054,-2.27385807,5.4191432,32656.86523,LAMOST J225325.15-061251.8,343.354831,-6.214416,12.09
128,756902176,-2.799794674,5.738936424,24381.19141,LAMOST J075532.56-023559.2,118.885701,-2.599788,70.71
129,756907027,-2.445056438,5.641999722,27957.36133,LAMOST J080402.38-025951.6,121.009922,-2.997687,17.65
130,757605055,-2.081953764,5.485826015,33315.85938,LAMOST J000130.00+474824.0,0.375018,47.806688,5.44
131,758406185,-2.256332397,5.902793407,24910.65234,LAMOST J062249.53+283936.4,95.706386,28.660128,25.85
132,759003217,-2.696862936,5.557381153,35332.18359,LAMOST J223802.66+222414.0,339.511093,22.403911,7.48
133,759714026,-2.545558691,5.504690647,24227.25,LAMOST J063303.52+233201.6,98.264691,23.533795,178.89
134,760604235,-2.00967598,5.433394432,32263.23828,LAMOST J000828.34+250225.4,2.118103,25.040389,11.18
135,760704137,-2.068153381,5.567240715,26667.07617,LAMOST J034853.20+233754.0,57.221682,23.63167,23.79
136,767502069,0.51079464,5.948744774,48238.09375,LAMOST J215101.29+304346.9,327.7554,30.729705,27.28
137,769310099,-2.495376348,5.662316322,27499.79102,LAMOST J071112.19+062623.7,107.8008,6.439922,103.85
138,769315125,-2.495533705,5.733793736,27934.70508,LAMOST J072056.51+075858.9,110.23548,7.983049,18.54
139,769412157,-2.573634386,5.87225008,23320.58789,LAMOST J072615.98+081327.0,111.56659,8.224188,79.83
140,778606183,-2.658523083,5.662415504,26194.9375,LAMOST J072617.28-002822.8,111.572007,-0.473005,5.75
141,778813059,-2.128909588,5.625268936,21788.09375,LAMOST J043545.90+071444.4,68.941258,7.245667,101.43
142,779305058,-2.596313238,5.207147121,24344.26367,LAMOST J083308.79+232709.8,128.286644,23.452723,13.96
143,780411053,-2.567180872,5.456456661,28278.16992,LAMOST J090955.73+161803.6,137.482246,16.301008,26.64
